branch_id,branch_name,city,state,region
B0185,Master Bank Branch,Ghaziabad,Tamil Nadu,South
B0186,Patel Bank Branch,Siliguri,Uttarakhand,West
B0187,Sule Bank Branch,Anantapur,Kerala,East
B0188,Bassi Bank Branch,Tezpur,Tamil Nadu,East
B0189,Ravi Bank Branch,Bhilai,Andhra Pradesh,South
B0190,Roy Bank Branch,Machilipatnam,Telangana,South
B0191,Badami Bank Branch,Raiganj,Madhya Pradesh,East
B0192,Jha Bank Branch,Hindupur,Madhya Pradesh,east
B0193,Yadav Bank Branch,Kavali,Tamil Nadu,West
B0194,Dutt Bank Branch,Avadi,Arunachal Pradesh,West
B0195,More Bank Branch,Bhatpara,Goa,West
B0196,Parekh Bank Branch,Madurai,Telangana,North
B0197,Radhakrishnan Bank Branch,Ahmednagar,Assam,East
B0198,Ravi Bank Branch,Firozabad,Arunachal Pradesh,Central
B0199,Mall Bank Branch,Amaravati,Haryana,South
B0200,Bhasin Bank Branch,Panvel,Chhattisgarh,Central
