account_id,customer_id,account_type,account_open_date,account_status,balance,branch_id
A0000076,C002309,Current,2022-05-05,Dormant,407216.78,B0044
A0000077,C000414,Salary,2022-11-07,Closed,404141.97,B0040
A0000078,C006748,Savings,2026-01-27,Dormant,7607.93,B0023
A0000079,C009206,Salary,2025-11-27,Active,200893.84,B0181
A0000080,C002343,Salary,2025-05-23,Active,355751.86,B0196
A0000081,C000592,Salary,2023-12-31,Closed,338502.19,B0069
A0000082,C004119,Current,2026-06-17,Dormant,437388.13,B0147
A0000083,C009163,Salary,2025-02-07,Dormant,233248.36,B0062
A0000084,C006332,Current,2023-10-07,Closed,270993.84,B0037
A0000085,C006433,Current,2024-06-15,Dormant,148160.44,
A0000086,C004191,Salary,2024-04-12,Active,171372.86,B0159
A0000087,C001377,Current,2022-04-30,Dormant,409033.05,B0024
A0000088,C006558,Savings,2025-10-03,Active,237062.56,B0093
A0000089,C004087,Current,2024-02-23,Active,172693.1,B0118
A0000090,C004947,Current,2026-01-25,Closed,93907.55,B0166
A0000091,C000280,Savings,2024-12-02,Dormant,264661.08,B0141
A0000092,C008516,Current,2026-01-24,Active,281668.18,B0194
A0000093,C005819,Salary,2022-06-01,Dormant,195513.25,B0200
A0000094,C002201,Current,2022-10-10,Dormant,440424.75,B0198
A0000095,C006707,Savings,2023-02-09,Active,197171.73,B0068
A0000096,C000603,Current,2025-02-24,Active,19827.0,B0064
A0000097,C005030,Current,2023-12-06,Active,332473.75,B0071
A0000098,C003877,Current,2024-01-04,Active,315731.29,B0196
A0000099,C005337,Salary,2026-07-17,Active,420005.37,B0097
A0000100,C000275,Salary,2025-12-03,Dormant,498928.71,B0013
A0000101,C001031,Current,2025-08-08,Active,357177.14,B0113
A0000102,C007433,Salary,2024-04-16,Active,64347.56,B0133
A0000103,C004127,Salary,2026-02-10,Active,155254.81,B0010
A0000104,C001103,Salary,2025-06-07,Active,459132.34,B0155
A0000105,C008320,Savings,2022-02-23,Active,212710.34,B0050
A0000106,C005099,Current,2023-03-25,Closed,258270.52,B0029
A0000107,C006986,Current,2024-09-21,Active,485861.1,B0076
A0000108,C006142,Savings,2022-11-22,Active,195630.39,B0018
A0000109,C001366,Salary,2026-08-06,Closed,86142.91,B0181
A0000110,C000575,Savings,2022-11-03,Dormant,39740.21,B0006
A0000111,C009521,Savings,2023-03-20,Active,140102.02,B0034
A0000112,C000897,Salary,2022-06-01,Dormant,192650.56,B0067
A0000113,C005263,Salary,2024-05-10,Active,482897.27,B0171
A0000114,C003402,Current,2025-01-12,Closed,454676.12,B0093
A0000115,C000129,Savings,2022-06-28,Active,482023.46,B0108
A0000116,C001870,Salary,2023-02-09,Closed,403797.2,B0021
A0000117,C005849,Savings,2025-10-09,Active,31093.84,B0193
A0000118,C000651,Current,2025-02-05,Active,9929.1,B0137
A0000119,C008913,Savings,2022-07-23,Active,257772.64,B0050
A0000120,C007441,Current,2022-04-28,Closed,499038.04,B0187
A0000121,C005665,Salary,2026-01-20,Active,245384.27,B0164
A0000122,C003835,Savings,2023-06-11,Dormant,396561.01,B0108
A0000123,C000293,Current,2021-08-29,Closed,249108.61,B0091
A0000124,C005393,Savings,2022-05-29,Active,203280.8,B0015
A0000125,C009436,Savings,2022-10-29,Dormant,313213.28,B0146
A0000126,C001571,Salary,2026-04-12,Closed,438596.29,B0018
A0000127,C000915,Current,2023-05-02,Active,112606.41,B0010
A0000128,C007611,Savings,2024-04-07,Active,376847.61,
A0000129,C005973,Savings,2026-07-07,Closed,335750.16,B0055
A0000130,C001354,Current,2021-09-17,Active,353195.71,B0117
A0000131,C001425,Savings,2025-08-08,Dormant,165128.02,B0154
A0000132,C000658,Salary,2024-11-27,Active,446872.88,B0097
A0000133,C003887,Current,2023-07-15,Active,164045.29,B0113
A0000134,C003641,Current,2024-04-05,Dormant,318552.49,B0094
A0000135,C006799,Savings,2026-08-02,Closed,314129.47,B0126
A0000136,C007513,Savings,2023-04-21,Closed,54054.95,B0074
A0000137,C000437,Savings,2023-10-23,Active,351465.29,B0130
A0000138,C002922,Savings,2023-03-26,Active,24382.76,B0143
A0000139,C006363,Salary,2022-09-22,Active,63059.84,B0165
A0000140,C007596,Current,2022-05-23,Active,403459.64,
A0000141,C001244,Savings,2022-04-10,Closed,157380.2,B0146
A0000142,C008280,Savings,2023-03-04,Dormant,22818.18,B0068
A0000143,C001939,Current,2025-04-16,Active,93247.07,B0048
A0000144,C002055,Savings,2022-06-16,Active,188221.14,B0023
A0000145,C000277,Current,2024-05-24,Closed,405994.42,B0200
A0000146,C003046,Salary,2024-07-06,Active,322858.15,B0144
A0000147,C000559,Savings,2023-10-20,Dormant,459099.15,B0192
A0000148,C003732,Savings,2025-03-12,Active,356601.76,B0197
A0000149,C006262,Savings,2023-11-26,Dormant,121981.12,B0025
A0000150,C006715,Savings,2025-08-22,Dormant,224541.88,B0152
A0000151,C009916,Salary,2023-01-21,Closed,306650.6,B0018
A0000152,C007303,Current,2022-01-10,Closed,88569.26,B0188
A0000153,C005133,Salary,2025-10-05,Active,152306.38,B0088
A0000154,C000372,Current,2022-04-23,Closed,226195.13,B0151
A0000155,C001309,Savings,2025-03-27,Active,133353.04,B0105
A0000156,C003412,Savings,2026-05-29,Active,355070.22,B0153
A0000157,C005368,Current,2025-06-22,Active,390966.44,B0146
A0000158,C005580,Current,2023-04-29,Dormant,188647.55,B0182
A0000159,C005042,Current,2025-12-21,Active,66172.53,B0062
A0000160,C007377,Salary,2024-11-13,Closed,299273.13,B0110
A0000161,C001022,Salary,2024-02-08,Dormant,51620.18,B0110
A0000162,C005091,Savings,2026-05-11,Active,310836.39,B0045
A0000163,C006931,Salary,2026-04-11,Dormant,16862.01,B0003
A0000164,C002393,Savings,2021-11-09,Active,406243.83,B0057
A0000165,C009730,Savings,2023-10-09,Dormant,141216.95,B0104
A0000166,C004188,Current,2023-10-10,Active,131683.58,B0042
A0000167,C006521,Current,2025-09-15,Active,227324.9,B0046
A0000168,C009073,Salary,2021-10-28,Active,368419.04,B0068
A0000169,C009806,Savings,2025-02-11,Dormant,410725.58,B0150
A0000170,C007014,Current,2021-09-20,Active,15198.93,B0140
A0000171,C003347,Savings,2023-09-27,Active,442492.93,B0021
A0000172,C008677,Current,2023-04-01,Active,153477.07,B0113
A0000173,C005739,Salary,2025-09-27,Active,93268.92,B0152
A0000174,C009304,Current,2022-10-01,Dormant,145385.51,B0003
A0000175,C008763,Savings,2022-01-21,Active,385484.74,B0093
A0000176,C001389,Current,2022-10-26,Active,205922.69,B0045
A0000177,C005399,Salary,2024-04-04,Active,52536.55,B0014
A0000178,C008256,Current,2025-01-26,Active,421580.46,B0198
A0000179,C005163,Current,2025-05-06,Active,442813.79,B0065
A0000180,C001862,Current,2022-03-01,Active,402582.9,B0138
A0000181,C001925,Current,2025-12-27,Dormant,392301.32,B0189
A0000182,C001688,Savings,2022-01-09,Active,365033.55,B0071
A0000183,C003440,Current,2023-12-09,Closed,310956.29,B0167
A0000184,C005454,Current,2022-02-13,Dormant,44324.09,B0092
A0000185,C006970,Salary,2025-08-01,Closed,434136.98,B0077
A0000186,C001965,Current,2021-12-11,Dormant,297264.52,B0066
A0000187,C000914,Current,2023-06-10,Active,73571.9,B0090
A0000188,C004683,Salary,2025-08-11,Dormant,383852.18,B0064
A0000189,C008090,Salary,2022-04-25,Active,435797.93,B0179
A0000190,C000329,Current,2023-02-25,Active,400812.77,B0082
A0000191,C004052,Savings,2025-03-28,Active,499787.23,B0036
A0000192,C004246,Savings,2021-09-12,Dormant,71491.23,B0044
A0000193,C001423,Current,2024-07-12,Active,493757.44,B0091
A0000194,C005016,Savings,2022-05-08,Dormant,279434.62,B0084
A0000195,C001949,Current,2021-10-05,Active,474101.43,B0111
A0000196,C003363,Current,2026-01-30,Active,287986.88,B0191
A0000197,C007800,Current,2022-11-18,Active,301485.68,B0139
A0000198,C005815,Current,2023-09-02,Dormant,182292.98,B0050
A0000199,C001778,Salary,2023-10-29,Active,284492.27,B0103
A0000200,C006777,Current,2021-10-20,Active,278250.66,B0129
A0000201,C005351,Savings,2025-03-12,Active,446143.11,B0107
A0000202,C007833,Salary,2023-03-20,Dormant,76344.65,B0117
A0000203,C007064,Current,2024-09-26,Closed,422169.24,B0087
A0000204,C003064,Salary,2023-11-01,Active,274679.57,B0174
A0000205,C009890,Current,2025-01-30,Dormant,93174.76,B0151
A0000206,C004283,Savings,2024-12-21,Closed,472996.95,B0053
A0000207,C004598,Salary,2023-12-15,Active,37057.61,B0142
A0000208,C003593,Salary,2024-06-02,Active,360173.07,B0031
A0000209,C008778,Savings,2022-02-04,Closed,334479.01,B0106
A0000210,C004255,Savings,2026-05-24,Dormant,284631.14,B0197
A0000211,C005332,Salary,2022-05-31,Active,342477.06,B0011
A0000212,C000410,Current,2021-12-27,Active,281654.67,B0096
A0000213,C004474,Current,2026-08-01,Active,369795.52,B0135
A0000214,C005741,Salary,2023-01-05,Active,24513.51,B0178
A0000215,C007538,Salary,2026-03-16,Dormant,257825.44,B0183
A0000216,C003649,Current,2024-06-10,Dormant,280888.8,B0083
A0000217,C000449,Current,2022-05-17,Active,120868.8,B0177
A0000218,C004350,Current,2023-08-24,Active,14389.3,B0069
A0000219,C009376,Savings,2025-01-11,Active,446594.85,B0188
A0000220,C001530,Salary,2025-07-27,Active,347533.66,B0183
A0000221,C004160,Current,2022-08-01,Dormant,242519.78,B0199
A0000222,C002170,Salary,2023-05-24,Dormant,374618.71,B0018
A0000223,C007070,Current,2025-03-10,Closed,380485.52,B0092
A0000224,C003624,Salary,2024-11-11,Active,299051.36,B0114
A0000225,C009060,Current,2024-10-09,Dormant,303344.54,B0114
A0000226,C003614,Current,2022-09-02,Active,315816.81,B0008
A0000227,C009110,Savings,2025-04-11,Active,417743.67,B0171
A0000228,C007668,Salary,2023-10-18,Closed,363953.02,B0146
A0000229,C006856,Current,2024-10-17,Active,81478.13,B0023
A0000230,C002724,Current,2025-01-21,Active,193225.05,B0127
A0000231,C008120,Current,2022-11-21,Closed,146324.96,B0089
A0000232,C000089,Savings,2026-08-06,Active,275233.92,B0175
A0000233,C003472,Current,2025-07-04,Dormant,394040.12,B0084
A0000234,C002283,Current,2022-07-21,Active,39052.59,B0018
A0000235,C005999,Savings,2025-02-23,Active,60945.06,B0039
A0000236,C003453,Savings,2024-08-16,Active,425109.7,B0122
A0000237,C006987,Savings,2024-09-03,Closed,35067.46,B0134
A0000238,C005070,Current,2026-08-06,Active,452618.59,B0088
A0000239,C005681,Savings,2022-09-26,Active,207669.21,B0184
A0000240,C009215,Current,2022-11-13,Active,438308.82,B0043
A0000241,C000072,Savings,2026-03-13,Active,259470.9,B0077
A0000242,C003867,Salary,2021-10-04,Closed,367263.63,B0031
A0000243,C003459,Salary,2023-06-12,Active,383554.21,B0101
A0000244,C002486,Current,2026-04-21,Active,464264.83,B0136
A0000245,C008727,Current,2023-06-08,Active,41603.1,B0011
A0000246,C005407,Salary,2025-02-08,Active,99398.98,B0055
A0000247,C001858,Current,2026-06-18,Active,70596.49,B0067
A0000248,C008478,Savings,2024-04-15,Closed,259134.09,B0109
A0000249,C002370,Current,2026-02-02,Active,352896.67,B0100
A0000250,C002184,Savings,2023-08-27,Active,12470.69,B0101
A0000251,C003122,Salary,2026-01-07,Dormant,382383.31,B0143
A0000252,C001129,Current,2023-07-15,Active,447099.88,B0006
A0000253,C004699,Salary,2025-10-11,Active,328889.76,B0063
A0000254,C009412,Current,2024-06-28,Dormant,19512.01,B0198
A0000255,C007652,Salary,2025-07-07,Active,122993.3,B0197
A0000256,C006733,Salary,2025-09-23,Dormant,241123.98,B0046
A0000257,C002279,Current,2025-11-10,Active,180036.98,B0147
A0000258,C009692,Current,2022-06-28,Active,169800.91,B0077
A0000259,C008550,Salary,2021-09-11,Closed,438855.91,B0186
A0000260,C006259,Salary,2025-09-21,Dormant,28854.3,B0169
A0000261,C008551,Current,2024-09-25,Closed,117573.4,B0100
A0000262,C006416,Current,2021-10-26,Closed,25028.14,B0054
A0000263,C009706,Savings,2022-06-12,Active,89781.85,B0032
A0000264,C004776,Savings,2026-03-05,Dormant,39244.97,B0072
A0000265,C005597,Salary,2023-05-15,Active,98325.36,B0078
A0000266,C009705,Savings,2021-08-27,Active,189728.91,B0070
A0000267,C000168,Salary,2023-07-23,Active,230581.37,B0029
A0000268,C005184,Salary,2025-03-26,Active,346304.37,B0142
A0000269,C003194,Current,2025-02-27,Closed,371169.36,B0084
A0000270,C003289,Savings,2022-12-25,Active,366086.53,B0076
A0000271,C005350,Current,2026-04-05,Closed,486222.08,B0116
A0000272,C006986,Salary,2023-07-21,Active,400618.02,B0059
A0000273,C006591,Current,2024-05-03,Active,475321.28,B0136
A0000274,C000626,Salary,2026-02-28,Closed,424229.78,B0137
A0000275,C002775,Savings,2022-06-20,Active,309538.94,B0126
A0000276,C005417,Current,2023-02-05,Dormant,184644.96,B0160
A0000277,C003464,Salary,2024-02-16,Active,29040.52,B0160
A0000278,C003861,Savings,2023-03-30,Dormant,380425.67,B0166
A0000279,C005862,Savings,2026-07-24,Active,197115.24,B0076
A0000280,C009942,Salary,2022-05-17,Dormant,51474.78,B0146
A0000281,C000373,Savings,2021-08-27,Active,415489.2,B0001
A0000282,C008437,Savings,2023-01-21,Closed,63125.29,B0010
A0000283,C002367,Salary,2024-07-18,Dormant,458051.27,B0005
A0000284,C009365,Salary,2022-12-26,Active,233853.88,B0169
A0000285,C000254,Salary,2022-09-14,Active,35036.56,B0157
A0000286,C008264,Savings,2022-03-14,Dormant,481697.99,B0088
A0000287,C002964,Salary,2022-05-05,Active,389684.12,B0080
A0000288,C002322,Current,2021-12-31,Active,481021.43,B0076
A0000289,C005617,Savings,2023-04-19,Closed,192001.21,B0095
A0000290,C009626,Current,2026-06-24,Dormant,43964.36,B0130
A0000291,C006189,Savings,2025-01-02,Active,240821.18,B0054
A0000292,C003516,Current,2023-02-06,Active,34843.66,B0191
A0000293,C001395,Current,2021-09-07,Active,108212.68,B0020
A0000294,C003362,Salary,2023-08-06,Dormant,446498.36,B0155
A0000295,C002561,Savings,2026-01-01,Active,370345.82,B0151
A0000296,C000786,Current,2022-04-23,Dormant,459793.47,B0117
A0000297,C000057,Savings,2024-08-06,Dormant,260136.25,B0039
A0000298,C005760,Current,2024-05-06,Active,333018.19,B0156
A0000299,C008037,Salary,2022-11-03,Closed,171190.5,B0048
A0000300,C002066,Current,2022-11-06,Closed,21469.79,B0059
A0000301,C001248,Salary,2023-10-22,Active,301536.21,B0113
A0000302,C001883,Current,2023-11-17,Active,38654.91,B0004
A0000303,C002542,Savings,2023-10-31,Active,55295.48,B0045
A0000304,C002561,Salary,2022-12-17,Active,326908.77,B0134
A0000305,C001563,Savings,2024-07-13,Active,478535.92,B0062
A0000306,C003229,Savings,2023-04-29,Active,116335.82,B0006
A0000307,C004359,Savings,2022-02-25,Active,235365.78,B0069
A0000308,C000491,Savings,2022-12-03,Dormant,70300.5,B0177
A0000309,C006068,Salary,2024-09-24,Active,246625.24,B0116
A0000310,C007817,Savings,2025-03-22,Dormant,93804.67,B0116
A0000311,C004703,Current,2023-08-28,Active,159519.91,B0172
A0000312,C007617,Current,2022-08-20,Closed,180358.55,B0142
A0000313,C009804,Current,2024-03-01,Active,472216.46,B0028
A0000314,C001119,Current,2025-06-30,Dormant,50126.92,B0194
A0000315,C001601,Savings,2024-01-01,Active,244146.68,B0050
A0000316,C005485,Salary,2026-04-09,Active,438741.4,B0073
A0000317,C009113,Salary,2024-01-18,Active,449380.08,B0141
A0000318,C004068,Savings,2022-01-14,Dormant,45349.16,B0126
A0000319,C002503,Current,2022-10-10,Active,197325.48,B0155
A0000320,C009090,Savings,2024-05-28,Active,11933.39,B0093
A0000321,C002758,Savings,2023-09-25,Active,228262.94,B0023
A0000322,C009937,Current,2022-02-15,Active,138316.88,B0078
A0000323,C008192,Current,2025-03-16,Active,460816.71,B0112
A0000324,C001592,Savings,2023-04-25,Active,278403.55,B0174
A0000325,C001578,Salary,2025-03-17,Active,227435.21,B0039
A0000326,C004409,Current,2023-12-18,Active,281785.31,B0084
A0000327,C000991,Current,2025-05-02,Active,13115.71,B0118
A0000328,C006815,Current,2021-08-25,Active,461157.3,B0192
A0000329,C004197,Salary,2025-02-05,Dormant,219441.38,B0172
A0000330,C000183,Salary,2023-01-15,Closed,69024.86,B0040
A0000331,C007913,Savings,2025-04-02,Active,170378.53,B0103
A0000332,C000049,Current,2023-03-21,Active,302211.6,B0093
A0000333,C004542,Current,2022-02-28,Closed,166547.56,B0149
A0000334,C002890,Salary,2025-07-15,Active,268818.81,B0045
A0000335,C000521,Current,2026-04-03,Active,9211.04,B0179
A0000336,C000670,Savings,2021-12-16,Active,145011.68,B0159
A0000337,C003670,Current,2024-04-01,Dormant,358417.82,B0158
A0000338,C001529,Salary,2025-03-03,Dormant,123232.0,B0061
A0000339,C007923,Salary,2022-03-03,Active,181645.73,B0200
A0000340,C008262,Savings,2024-10-17,Active,257677.7,B0128
A0000341,C002570,Current,2026-01-01,Active,175398.45,B0032
A0000342,C008034,Salary,2024-04-09,Closed,422877.0,B0067
A0000343,C004193,Current,2024-12-26,Active,437443.47,B0172
A0000344,C008716,Current,2023-12-19,Closed,275723.76,B0019
A0000345,C002761,Salary,2021-09-08,Dormant,216150.58,B0088
A0000346,C003502,Salary,2022-06-17,Dormant,189362.07,B0053
A0000347,C003387,Current,2022-02-01,Closed,259024.19,B0059
A0000348,C009250,Salary,2024-05-01,Active,304812.6,B0027
A0000349,C001131,Salary,2023-01-30,Dormant,236589.84,B0191
A0000350,C007088,Current,2023-04-29,Dormant,39085.28,B0035
A0000351,C007336,Salary,2026-01-03,Active,319783.52,B0105
A0000352,C002874,Salary,2024-10-24,Active,238996.81,B0143
A0000353,C001867,Savings,2022-12-26,Active,267724.38,B0038
A0000354,C006495,Savings,2024-02-28,Active,291877.87,B0077
A0000355,C007866,Savings,2025-06-08,Active,400543.32,B0097
A0000356,C009229,Savings,2026-01-28,Dormant,4305.22,B0133
A0000357,C002879,Salary,2025-01-17,Active,212514.42,B0058
A0000358,C004023,Savings,2022-06-24,Active,99134.96,B0050
A0000359,C001642,Savings,2024-06-24,Active,414699.49,B0128
A0000360,C002250,Salary,2026-03-15,Active,36474.26,B0094
A0000361,C003427,Salary,2024-10-05,Active,293308.61,B0180
A0000362,C002284,Salary,2025-11-01,Active,107697.85,B0190
A0000363,C009767,Savings,2021-08-15,Dormant,425077.98,B0029
A0000364,C001632,Savings,2023-04-25,Active,213375.31,B0185
A0000365,C002584,Salary,2023-09-02,Dormant,143137.42,B0055
A0000366,C002834,Savings,2024-03-24,Closed,85512.63,B0079
A0000367,C006781,Salary,2025-11-15,Closed,135440.54,B0175
A0000368,C007786,Savings,2025-08-25,Dormant,398918.22,B0186
A0000369,C005517,Savings,2024-02-14,Active,17326.96,B0137
A0000370,C003945,Salary,2026-03-07,Active,239450.01,B0039
A0000371,C001486,Savings,2023-07-31,Closed,376169.06,B0109
A0000372,C003473,Salary,2026-04-24,Active,178071.94,B0020
A0000373,C005828,Savings,2022-12-10,Dormant,292757.37,B0190
A0000374,C006889,Savings,2023-10-06,Dormant,335119.83,B0129
A0000375,C008981,Salary,2026-07-06,Closed,451418.89,B0027
A0000376,C008996,Current,2022-08-19,Active,183803.9,B0153
A0000377,C002842,Current,2025-05-08,Active,407901.72,B0082
A0000378,C009556,Salary,2023-06-18,Active,303399.73,B0035
A0000379,C000833,Savings,2023-08-16,Active,163862.79,B0022
A0000380,C001566,Salary,2023-02-27,Active,306068.47,B0123
A0000381,C001028,Salary,2024-04-30,Closed,356947.68,B0044
A0000382,C009419,Salary,2025-08-08,Active,100557.65,B0189
A0000383,C005425,Salary,2026-05-14,Active,300701.41,B0064
A0000384,C004972,Savings,2023-05-21,Active,487787.67,B0176
A0000385,C009480,Savings,2023-10-13,Dormant,140806.93,B0043
A0000386,C002776,Savings,2023-02-17,Active,311271.32,B0105
A0000387,C007356,Current,2023-01-09,Dormant,307548.83,B0091
A0000388,C003463,Salary,2021-08-20,Closed,105836.04,B0084
A0000389,C009026,Savings,2023-03-23,Active,93386.46,B0061
A0000390,C007014,Current,2025-03-19,Active,180128.47,B0060
A0000391,C007083,Salary,2023-01-01,Active,367143.28,B0178
A0000392,C006256,Savings,2026-02-07,Active,220017.5,
A0000393,C001663,Current,2021-12-15,Closed,312994.67,B0191
A0000394,C000153,Savings,2022-11-11,Dormant,376223.75,B0122
A0000395,C003671,Current,2022-07-12,Closed,141519.08,B0043
A0000396,C009328,Current,2026-02-08,Closed,382435.05,B0118
A0000397,C002083,Salary,2024-07-30,Closed,191491.11,B0175
A0000398,C001097,Savings,2022-10-27,Closed,470883.93,B0091
A0000399,C000869,Current,2026-03-23,Closed,8462.41,B0111
A0000400,C009092,Savings,2024-06-04,Active,10107.87,B0022
A0000401,C006370,Salary,2022-09-21,Active,166228.76,B0141
A0000402,C002981,Salary,2022-05-09,Active,193295.4,B0081
A0000403,C000449,Current,2024-12-10,Dormant,14144.99,B0019
A0000404,C008856,Salary,2023-05-08,Active,415668.93,B0088
A0000405,C009519,Current,2021-09-23,Active,339438.06,B0183
A0000406,C004706,Current,2024-01-20,Dormant,361708.67,B0016
A0000407,C007414,Savings,2023-05-05,Active,335107.43,B0106
A0000408,C000468,Salary,2026-07-10,Active,322518.16,B0040
A0000409,C000827,Savings,2025-06-26,Dormant,150204.56,B0007
A0000410,C005813,Current,2026-06-24,Active,312940.03,B0021
A0000411,C003815,Savings,2024-10-18,Active,478630.27,B0028
A0000412,C005733,Savings,2026-01-05,Active,32345.19,B0192
A0000413,C005706,Current,2025-04-04,Active,91303.88,B0105
A0000414,C000206,Savings,2025-02-04,Active,404509.9,B0149
A0000415,C009501,Salary,2023-07-18,Closed,49894.43,B0140
A0000416,C001664,Salary,2022-08-19,Active,185167.98,B0065
A0000417,C008692,Salary,2022-04-22,Active,208954.1,B0194
A0000418,C003095,Salary,2026-02-22,Active,366142.18,B0113
A0000419,C004239,Salary,2026-06-20,Dormant,9060.99,B0013
A0000420,C007156,Current,2021-10-21,Active,236357.06,B0065
A0000421,C001462,Salary,2025-03-28,Active,169457.57,B0135
A0000422,C003768,Savings,2024-06-20,Active,341487.11,B0120
A0000423,C001613,Current,2026-02-18,Dormant,137969.58,B0027
A0000424,C006857,Savings,2025-03-14,Active,92275.65,B0139
A0000425,C007668,Salary,2025-09-07,Active,124627.45,B0124
A0000426,C009086,Current,2021-10-01,Active,157799.36,B0148
A0000427,C001789,Salary,2026-07-09,Closed,201189.27,B0042
A0000428,C005763,Current,2024-05-31,Active,251165.67,B0133
A0000429,C004678,Salary,2025-03-22,Dormant,383177.83,B0091
A0000430,C009875,Current,2022-04-10,Active,127025.03,B0181
A0000431,C006385,Current,2023-05-18,Closed,57214.75,B0009
